k,acc,acc_std,f1,f1_std
1,0.9161272450886084,0.02359768234929767,0.9099960839354327,0.026160658095437328
3,0.9014834925968908,0.022869134890701383,0.8929455203055647,0.026213578991219132
5,0.8886980149104515,0.02202120595917221,0.8787344850569923,0.026385092062688357
7,0.8749462533092967,0.02527197801741551,0.8650406543335778,0.029676977889809195
9,0.864036093789123,0.023124367543325853,0.8542111505095861,0.027147143793256535
11,0.8469420324090355,0.026444818028323876,0.8355915198679911,0.029053430831552034
13,0.8351176459966967,0.02445754407916413,0.8231970173454315,0.027973496028380725
15,0.8275140338763718,0.02307212567509533,0.8157256503482943,0.02526718885504719
17,0.8147172072605315,0.02377404147204239,0.8025107392352842,0.02624559701315247
19,0.8057273972243356,0.02312465795008045,0.7933733389863664,0.024563967937102072
21,0.801904308135047,0.02549618754261468,0.7893993837560649,0.027470187764570483
23,0.79954579657806,0.02525685123801615,0.7871806135978549,0.0271506201118876
25,0.795291211835862,0.026317151257660397,0.7831314138076995,0.02803618993028554
27,0.7819978188009562,0.03145083666935186,0.7700004728899236,0.0333146634623822
29,0.7815349998592276,0.02937380944918814,0.7687956714202566,0.031786536473344625
31,0.7743962718786761,0.02919735730713986,0.7619978861610519,0.03132395104931609
33,0.76966560282586,0.02977725436629329,0.7563329324075896,0.03079448075138256
35,0.7635018042981936,0.03402397476121464,0.7490769966627777,0.03514324811808685
37,0.7611432720445233,0.03423478389194762,0.7466597440664354,0.036170350545332
39,0.7597684230580534,0.024652807588734425,0.7443574560044708,0.0257987401546503
41,0.7507431353470246,0.02607034550511811,0.735461624899149,0.02824591803407902
43,0.7436090259919709,0.02908271982633476,0.728050568953633,0.030351112504156355
45,0.7403290750074574,0.02463875734358854,0.7241818864089125,0.025026098482598434
47,0.735593870704409,0.020356430535198373,0.7187508703003307,0.02136226128624904
49,0.734149646924416,0.024147688054796078,0.7180405196361234,0.023813337016152136
51,0.725609430354939,0.027699468943651658,0.7091803134773367,0.029029922577252655
