k,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
1,0.953421052631579,0.03674894235951474,0.9366333938991765,0.051851487855820985
3,0.9028947368421054,0.05703245419079324,0.8695174893694885,0.07207937554488268
5,0.9184210526315789,0.05060574896446891,0.8922389395297554,0.06093285944371158
7,0.9128947368421054,0.055143353848711524,0.87981295555205,0.0725474385885108
9,0.8976315789473684,0.050337503572664165,0.8542348009326014,0.06489019425685401
11,0.8771052631578946,0.055911609109745686,0.8139734806344456,0.08675833003309923
15,0.8407894736842104,0.06342323647692345,0.7288713750401811,0.13844900464447088
19,0.8360526315789473,0.05525125185029685,0.712536513138441,0.13072866385697246
25,0.8305263157894738,0.04722492885984239,0.6924759419891744,0.11420275483157274
31,0.8510526315789473,0.043452141980105885,0.7202282943964051,0.1253109270407985
37,0.8405263157894737,0.04433566250242671,0.6964782943964192,0.12251966476045056
43,0.8252631578947369,0.04246882513130355,0.6595715558945903,0.11380230634784685
49,0.7897368421052631,0.036167699582290165,0.5541477940145638,0.10837430238473762
