training_size,mean_cost
10,0.042882523574265405
20,0.07358147900100429
30,0.16604179676540345
40,0.27017400545245873
50,0.36929106076814433
60,0.3557786226229397
70,0.3621046395894248
80,0.34345668810472396
90,0.35195339406107734
100,0.3559955203532637
110,0.35374911829364886
120,0.3464363738172998
130,0.3510018015614485
140,0.35404669927800125
150,0.35878321604979446
160,0.3605355602353715
170,0.35664329742997813
180,0.36995409916785427
190,0.3547249452187165
195,0.354928840920671
